user,is_private,is_failure,is_root,is_success,command,ipaddress,date,target
admin,0,1,0,0,0,116.110.5.165,2021-11-18 13:45:57,0
admin,0,1,0,0,0,171.252.186.149,2021-11-18 13:45:59,0
julian,0,1,0,0,0,115.74.133.88,2021-11-18 13:52:43,0
root,0,1,1,0,0,45.88.137.253,2021-11-18 14:00:20,0
root,0,1,1,1,2,45.88.137.253,2021-11-18 14:00:21,1
root,0,1,1,0,0,45.88.137.253,2021-11-18 14:00:21,0
user,0,1,0,0,0,212.192.241.37,2021-11-18 14:08:49,0
user,0,1,0,0,0,141.98.10.63,2021-11-18 14:13:39,0
user,0,1,0,0,0,195.133.18.24,2021-11-18 14:15:44,0
user,0,1,0,1,2,195.133.18.24,2021-11-18 14:16:23,1
user,0,1,0,0,0,195.133.18.24,2021-11-18 14:17:02,0
user,0,1,0,0,0,209.141.44.165,2021-11-18 14:51:20,0
user,0,1,0,0,0,209.141.44.165,2021-11-18 14:52:13,0
user,0,1,0,0,0,195.133.18.210,2021-11-18 16:05:11,0
user,0,1,0,0,0,141.98.10.63,2021-11-18 16:19:39,0
user,0,1,0,0,0,209.141.43.8,2021-11-18 16:22:49,0
user,0,1,0,0,0,209.141.32.141,2021-11-18 17:15:12,0
root,0,0,1,1,1,195.3.147.47,2021-11-18 17:16:13,1
user,0,1,0,0,0,209.141.62.233,2021-11-18 19:14:30,0
user,0,1,0,0,0,205.185.119.112,2021-11-18 19:34:41,0
user,0,1,0,0,0,209.141.62.233,2021-11-18 20:22:24,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:32:06,0
oracle,0,1,0,0,0,142.93.214.155,2021-11-18 20:32:13,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:32:19,0
postgres,0,1,0,0,0,142.93.214.155,2021-11-18 20:32:25,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:32:31,0
hadoop,0,1,0,0,0,142.93.214.155,2021-11-18 20:32:37,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:32:43,0
git,0,1,0,0,0,142.93.214.155,2021-11-18 20:32:50,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:32:56,0
mysql,0,1,0,0,0,142.93.214.155,2021-11-18 20:33:03,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:33:09,0
test,0,1,0,0,0,142.93.214.155,2021-11-18 20:33:15,0
root,0,0,1,1,1,142.93.214.155,2021-11-18 20:33:21,1
user,0,1,0,0,0,142.93.214.155,2021-11-18 20:33:27,0
root,0,0,1,1,1,142.93.214.155,2021-11-18 20:33:34,1
root,0,0,1,1,1,142.93.214.155,2021-11-18 20:33:47,1
student,0,1,0,0,0,142.93.214.155,2021-11-18 20:33:54,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:34:00,0
svn,0,1,0,0,0,142.93.214.155,2021-11-18 20:34:07,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:34:13,0
ubuntu,0,1,0,0,0,142.93.214.155,2021-11-18 20:34:20,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:34:27,0
ts3,0,1,0,0,0,142.93.214.155,2021-11-18 20:34:35,0
odoo,0,1,0,0,0,142.93.214.155,2021-11-18 20:34:41,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:34:47,0
jenkins,0,1,0,0,0,142.93.214.155,2021-11-18 20:34:53,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:35:00,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:35:07,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:35:13,0
jira,0,1,0,0,0,142.93.214.155,2021-11-18 20:35:20,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:35:27,0
stack,0,1,0,0,0,142.93.214.155,2021-11-18 20:35:34,0
root,0,1,1,0,0,142.93.214.155,2021-11-18 20:35:40,0
weblogic,0,1,0,0,0,142.93.214.155,2021-11-18 20:35:47,0
www,0,1,0,0,0,142.93.214.155,2021-11-18 20:35:54,0
